Algeria,994C00,38813720,0,81.497,75.6
Angola,CC6600,19088106,56.81,9.062,52.44
Benin,FF8000,10160556,56,12.701,59.95
Botswana,FF9933,2155784,0.11,11.872,65.67
Burkina Faso,FFB266,18365124,61.39,2.772,59.89
Burundi,FFCC99,10395931,23.28,30.296,59.63
Cameroon,FFE5CC,23130708,40.83,1.625,57.27
Cape Verde,999900,538535,0,1.819,73.29
Central African Republic,CCCC00,5277959,75.61,10.096,52.52
Chad,FFFF00,11412107,74.18,0.609,53.06
Comoros,FFFF99,766865,63.9,8.364,63.52
DR Congo,336600,77433744,57.64,1.903,59.85
Republic Congo,4C9900,4662446,70.41,41.207,64.7
Cote d'Ivoire,66CC00,22848944,48.57,34.668,53.3
Djibouti,80FF00,810179,7.68,1.903,63.54
Egypt,99FF33,86895096,0,330.765,70.9
Equatorial Guinea,B2FF66,722254,55.8,7.884,58.15
Eritrea,CCFF99,6380803,4.28,5.352,64.71
Ethiopia,006633,96633456,17,67.435,64.8
Gabon,00994C,1672597,61.72,14.166,65.97
Gambia,00CC66,1925527,63.96,0.886,61.22
Ghana,00FF80,25758108,61.63,38.171,62.44
Guinea,33FF99,11474383,61.91,6.569,59
Guinea-Bissau,66FFB2,1693398,62.71,1.136,53.9
Kenya,CCFFE5,45010056,28.28,64.688,63.37
Lesotho,006666,1942008,0,1.766,53.67
Liberia,009999,4092310,51.18,2.106,62.03
Libya,00CCCC,6244174,0,39.315,72.7
Madagascar,00FFFF,23201926,25.46,9.524,65.48
Malawi,33FFFF,17377468,48.44,5.347,58.28
Mali,66FFFF,16455903,49.7,14.198,58.25
Mauritania,99FFFF,3516806,53.04,4.541,63.14
Mauritius,CCFFFF,1331155,0.07,11.865,74.62
Morocco,003366,32987206,0,108.096,74.3
Mozambique,004C99,24692144,42.75,12.505,57.62
Namibia,0066CC,2198406,0.09,11.21,65.81
Niger,0080FF,17466172,58.61,7.51,61.8
Nigeria,3399FF,177155760,60.46,537.966,54.46
Rwanda,66B2FF,12337138,38.04,8.49,66.06
Sao Tome and Principe,99CCFF,190428,none,0.349,67.52
Senegal,CCE5FF,13635927,55.51,14.572,66.68
Seychelles,000066,91650,none ,1.427,73.19
Sierra Leone,000099,5743725,69.56,4.095,45.99
Somalia,0000CC,10428043,26.53,0.72,55.04
South Africa,0000FE,48375644,0.13,266.213,62.86
Sudan,3333FF,35482232,16,93.729,64.1
Swaziland,6666FF,1419623,0.05,3.391,58.92
Tanzania,9999FF,49639136,42.42,45.899,61.83
Togo,CCCCFF,7351374,62.09,4.405,58.43
Tunisia,330066,10937521,0,43.989,75.3
Uganda,7F00FF,35918916,42.12,24.995,62.31
Zambia,B266FF,14638505,51.91,19.117,61.8
Zimbabwe,CC99FF,13771721,7.63,14.659,60.66
